end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10
runtimeexception throwable myexception customexception someexception webapplicationexception applicationexception ioexception filenotfoundexception mycustomexception ejbexception persistenceexception servletexception systemexception java.lang.exception constraintviolationexception sqlexception dataaccessexception faultexception fooexception httpresponseexception

fgetc getc getchar fscanf fputc fread fgets ungetc putc ftell fputs fgetl getline putchar fwrite sysread getch fseek system.in.read readfile feof

uppercase upper-case lowercase lower-case capital upercase alphanumeric lowecase uppercased alphabetic a-z upper- capitalized titlecase alphabet upper-cased letter captial non-capital letters lowercase.

conditional conditionnal conditionals ternary conditonal if-else condtional ifeq switch-case cond conditinal conditionally cfif ifelse if-then-else case-when condition if-then elseif if...else if..then

self-signed selfsigned cert certificate makecert.exe self-issued ca-signed makecert self-signing truststore certficate self-singed rootca certificated certificates certstore letsencrypt self-generated self-sign certicate ssl

user-interface ux ui. non-visual ui widget-based uis gui visuals scenegraph look-and-feel business-logic guis interactivity drag-and-drop drag-n-drop swing-like skinnable non-gui point-and-click ui-based

demos examples samples tutorials demonstrations walkthroughs documentations demo showcase exemples tuts guides screencasts presentations examples. webinars exmaples boilerplates blogs toolkits quickstarts

fluentvalidation dataannotations xval parsley.js dataannotation parsley knockout-validation system.componentmodel.dataannotations zend_validate parsleyjs postsharp fluentvalidation.net jquery.validate remoteattribute attributerouting reactiveui razorengine vab csla spring.net catel

erase erasing erases overwrite discard invalidate delete remove truncate destroy deallocate erased append skip redraw wipe replace reinsert recover move over-write

grunt-usemin gruntjs grunt-contrib-concat grunt-contrib-watch grunt-contrib-uglify gulpjs usemin wiredep gulp-watch grunt-contrib-sass grunt-contrib-cssmin grunt-contrib-requirejs ngmin grunt-contrib-compass grunt-contrib-jade grunt-wiredep grunt-concurrent grunt-ts ng-annotate gulp-uglify gulp-sass

labeling labelling colouring relabeling relabel plotting ploting contouring discretization coloring classifying binning connected-component visualising classification polarization relaxation medial subdivision categorization cptaxislabelingpolicyautomatic

rowid row_id rownum recid recordid rownumber last_insert_id customerid emp_id customer_id employeeid newid empid ora_rowscn pk tableid columnname orderid ctid row_num order_id

strsplit str.split unlist grepl gsub paste0 sapply tapply re.split do.call str2num gregexpr mapply lapply preg_split ddply str_split csplit regexprep .split string.split

cpanm perlbrew cpanp cpanplus opam pip3 makefile.pl easy_install yolk yaourt cpan pip-2.7 zypper checkinstall aptitude pip-3.2 opkg cpan.pm dpkg yast macport

matching matched match matches mathing non-matching matching. mathcing matchin non-empty matche unmatched preceding matchs grouping mathes sub-string .+ distinct delimiting regex2

deselect unselect de-select un-select deselects deselecting unselects deselected re-select reselect uncheck unselecting unselected un-highlight de-selecting un-selected de-selected de-selects un-check unclick unhide

metadatatype knowntype uihint xmlinclude notmapped metadatatypeattribute debuggerdisplay serviceknowntype customvalidation scriptignore callermembername dataannotation columnattribute ignoredatamember protoinclude inverseproperty xmlarrayitem requiredattribute xmlroot methodimpl collectiondatacontract

genetics biology bioinformatics informatics ecology biological epidemiology machine-learning astronomy economics genetic geology fem ecological sciences molecular psychology tomography nns evolutionary combinatorics

jinternalframe jdesktoppane jdialog jmenubar jpopupmenu jtabbedpane internalframe jframe jwindow mainpanel jmenu jtoolbar jlayeredpane contentpane jmenuitem jpane japplet jfxpanel glasspane titlewindow tabbedpane

windows win win7 widnows desktop linux windwos osx windows7 windos mac win8 winodws win10 wndows widows winows centos ubuntu vista solaris

loopback loop-back wlan tun0 usb0 rndis docker0 tun1 eth0 teredo ppp0 eth4 eth1 tuntap vpn ipv6 nic inet upnp ipmi eth2

psgi plack wsgi starman scgi mojolicious dancer twiggy fcgi wsgi-compliant mod_perl mochiweb bottle.py cgi fastcgi yaws web.py pylons cherrypy wai mod_perl2

operators operator operators. expressions predicates functions operator. -operator operations notations literals functors traits built-ins unary operands constants opertor datatypes opperator primitives

highest lowest largest smallest higest greatest maximum max second-lowest maximal nearest hightest highes rank earliest minimum nth heighest second-highest decile oldest

bigdata big-data voltdb mapr hypertable druid hadoop-based infobright bigtable datawarehouse greenplum kairosdb no-sql vertica casandra flink hadoop non-relational hdinsight column-oriented datawarehousing

cagradientlayer cashapelayer cabasicanimation calayer catextlayer uivisualeffectview sublayer uibezierpath cakeyframeanimation caemitterlayer cgpath catransformlayer self.layer caanimation ccsprite careplicatorlayer catiledlayer uitoolbar shapelayer cifilter catransition

validationgroup controltovalidate cssclass requiredfieldvalidator causesvalidation clientvalidationfunction defaultbutton targetcontrolid postbackurl clientinstancename customvalidator commandname rangevalidator skinid comparevalidator commandargument regularexpressionvalidator associatedcontrolid remoteattribute behaviorid datakeynames

partials templates partialviews helpers sub-templates handlebars ng-view ng-include views stylesheets controllers viewmodels ui-view usercontrols ui-views javascripts ejs directives templateurl routes ng-includes

replaceall string.replace string.replaceall regex.replace replacefirst str.replace string.split re.sub string#split string#replace .replace pattern.quote gsub string#replaceall string.matches preg_replace regex.escape regexprep string.trim strrep string.contains

exit exits quit exiting exited terminate terminates abort quits exit. termination quitting die system.exit shutdown terminating halt kill terminated sys.exit relaunch

inject injecting injects injected pass instantiate encapsulate put wrap embed bind incorporate expose autowire define invoke initialize add declare translate injectable

gquery gwtquery yui3 prototypejs zepto script.aculo.us mgwt vanillajs xui zepto.js mootools mootool yui2 alloyui svgweb jquery.ui scriptaculous jqlite mvp4g gwt-phonegap zeptojs

vert.x vertx cometd netty immutant grizzly akka tornado dropwizard spring-amqp akka-http scalatra http-kit spray.io spring-integration mina sockjs akka.net tyrus jgroups hornetq

subclassing sub-classing extending inheriting overriding sublassing subclassed subclass qitemdelegate reimplementing qabstractspinbox deriving qabstractitemdelegate monkey-patching sub-classed qstyleditemdelegate sublass sublcass instantiating string.formatter uiresponder

refer relate refers provide assign attach include belong specify correspond use define expose referred supply bind utilize apply add follow modify

backbone.js backbone backbonejs ember.js emberjs knockout.js knockoutjs backbone.marionette react.js marionette angularjs reactjs canjs marionette.js vue.js durandal javascriptmvc angular.js sammy.js spine.js knockout

assembly dll assmebly assembly. assemblies .dll microsoft.practices.unity asembly assembler msil asm assemly assemby myassembly.dll fsharp.core foo.dll microsoft.build il fsharp.core.dll oracle.dataaccess my.dll

arrow arrows chevron mouse down-arrow arrow. icon underline arrrow right-arrow slide caret d-pad arrowhead dpad circle cursor alt arrowkeys alt+left shift

viewwillappear viewdidappear viewdidload viewwilldisappear viewdidlayoutsubviews viewdiddisappear awakefromnib -viewdidload layoutsubviews viewwilllayoutsubviews loadview -viewwillappear didselectrowatindexpath -viewdidappear viewwillapear cellforrowatindexpath viewwilldissapear scrollviewdidscroll viewwillapper didrotatefrominterfaceorientation prepareforsegue

seconds minutes secs mins milliseconds sec minute seconds. miliseconds secounds microseconds hrs msec secondes hours seconds.i secconds minutes. minuts seconds.. seconds...

tree hierarchy trees tree. subtree bst sub-tree trie dag leaf ast tree2 subtrees graph leafs hierachy subgraph treeview heirarchy tree1 tree-structure

equivalent analogous analogue equivilant equivelent equivilent idiomatic equivelant equvalent equivalent. analagous equivalant inferior akin counterpart equal equivalents identical preferable alternative shorthand

inspect examine inspecting inspected manipulate attach inpect inspector analyze browse interrogate analyse locate insepct grab modify check see examining ispect inspecter

operationcontract servicecontract webget webinvoke messagecontract xmlserializerformat serviceknowntype servicebehavior scriptservice scriptmethod uritemplate datacontract breezecontroller faultcontract operationcontractattribute ondeserialized callbackcontract datamember messagebodymember knowntype operationcontracts

credits credit winnings kudos credited owed funds fees earning bounties rewards bills owes coupons loan incentives expenses crediting earnings earns withdraws

mipmaps mipmapping textures mipmap multisampling cubemaps atlases framebuffers uvs vbos gl_linear spritesheets heightmaps heightmap fbos texturing mip-maps lightmap pvrtc shaders mipmapped

ietester httpwatch browserstack firefox. firefox+firebug firfox ff3.6 iexplorer watin fiddler2 ff4 browsershots testcomplete httpfox browsershots.org webdeveloper tamperdata livehttpheaders netrenderer aqtime firequery

man-in-the-middle mitm eavesdropping ddos man-in-middle denial-of-service side-channel sslstrip known-plaintext spoofing clickjacking phishing maninthemiddle attackers chosen-ciphertext firesheep attack attacks chosen-plaintext click-jacking slowloris

jfilechooser filechooser filedialog openfiledialog joptionpane savefiledialog qfiledialog jdialog folderbrowserdialog jpopupmenu fileopenpicker jinternalframe nsopenpanel folderpicker dialogbox jcombobox jtree jmenu filesystemview jmenubar jcolorchooser

ontology ontologies rdf ontmodel owl vocabulary protege reasoner ecore pellet triplestore yago proteg owl2 rdfs owl-dl dbpedia erd hermit rdfa owl-api
